Okres,Kraj,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
Karlovy Vary,Karlovarský kraj,17,19,20,22,25,27,28,27,35,37,39,43,44,47,48,50,53,53,53,53,53,55,55,57,57,63,63,67,67,71,71,75,76,76,76,76,76,76,77,77,77,79,80,80,81,81,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,81,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,88,89,89,91,91,91,91,92,93,95,95,95,96,96
Sokolov,Karlovarský kraj,6,6,6,8,8,8,9,11,13,13,13,16,17,18,19,20,24,25,30,31,31,33,33,35,35,39,42,45,45,52,52,53,54,54,56,56,56,57,57,57,57,59,60,60,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,66,66,67,67,67,67,67,67,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,71,72,72,72,73,73,73,73,73,73,73,73
Cheb,Karlovarský kraj,33,41,42,47,53,53,62,60,65,74,86,90,93,104,105,107,110,111,113,114,115,125,128,132,132,134,143,150,150,165,177,202,219,221,224,226,226,236,240,244,249,268,270,270,280,281,283,286,287,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,315,319,319,319,319,320,324,324,327,329,329,330,330,330,331,331,331,331,331,331,331,331,336,337,337,338,339,340,340,340,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,318,318,319,321,321,321,323,326,326,329,330,330,330,330
Jihlava,Kraj Vysočina,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,30,30,31,40,41,44,44,45,46,49,50,50,53,53,59,69,76,86,119,127,128,136,140,142,144,144,145,147,148,149,150,150,152,152,153,156
Havlíčkův Brod,Kraj Vysočina,18,18,30,50,54,56,58,59,60,61,61,61,67,67,67,76,77,78,78,78,81,81,82,82,82,82,83,83,84,84,90,90,90,90,90,90,92,92,93,93,93,93,93,94,95,95,95,95,95,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,101,103,104,104,106,107,110,112,112,113,117,117,117,118,118,118,119,126,127,127,131,131,131,132
Pelhřimov,Kraj Vysočina,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,6,14,16,20,22,24,27,30,30,30,30,31,31,31,33,33,33,33
Třebíč,Kraj Vysočina,10,10,15,16,16,16,18,18,18,20,20,22,22,25,26,26,27,28,28,30,30,30,30,30,30,30,30,30,31,31,31,31,31,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,35,35,35,35,36,36,36,36,36,36,36,36,36,37,37,37,37,38,38,38,38,41,42,42,43,43,43,43,43,43,44,45,45,46,47,47,48,48,49,50,50,52
Žďár nad Sázavou,Kraj Vysočina,8,9,16,16,16,19,24,28,29,33,33,33,33,33,33,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,44,45,48,49,49,49,49,49,50,52,55,55,55,55,56,56,58,62,62,62,62,63,67,67,68,68,69,69,70
Hradec Králové,Královéhradecký kraj,18,20,22,24,29,31,32,34,35,38,44,45,45,48,50,50,51,53,53,53,53,54,55,57,58,58,58,58,58,58,58,58,59,60,60,60,60,60,61,61,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,65,65,65,65,66,66,66,66,66,66,67,69,69,69,69,69,69,69,69,69,69,69,70,70,74,74,74,74,74,74,74,74,74,74,74,74,75,77,77,77,77,79,79,80,80,80,80,80,80,82,84,84,85,88,92,92,93,99,100,102,106,108,108,110,115,118,124,126,126,126,131,136
Jičín,Královéhradecký kraj,1,2,3,3,3,5,6,8,9,12,15,15,15,15,16,18,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,27,29,29,29,29,29,29,29,30,30,31,31,31,32,32,33,33,34,34,34,35,35,35,35,36,37,37,37,37,40,40,40,40,40,41,41
Náchod,Královéhradecký kraj,9,12,17,25,33,37,41,42,45,47,51,53,54,55,57,58,61,63,63,63,63,63,63,63,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,67,67,68,68,68,68,68,68,69,69,69,69,69,70,70,70,70,70,70,71,71,71,71,71,74,74,74,76,79,79,82,82,82,82,86,87,94,95,95,95,96,98
Rychnov nad Kněžnou,Královéhradecký kraj,2,2,2,2,2,2,2,6,6,7,8,9,10,11,11,12,14,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,22,22,23,23,23,28,31,32,32,32,35,36,38,38,38,38,39,43
Trutnov,Královéhradecký kraj,4,4,7,8,9,9,9,11,12,12,12,12,12,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,21,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,33,35,35,35,36,40,40,40,40,40,40,41
Česká Lípa,Liberecký kraj,1,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,14,16,16,16,16,16,17,17,17,17,17,18,22,22,27,27,30,31,31,36,36,36,36,36,39,39
Jablonec nad Nisou,Liberecký kraj,9,13,14,18,19,28,35,43,53,52,53,55,59,61,68,69,70,70,73,73,73,78,80,80,80,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,88,90,95,95,98,98,99,99,100,100,101,101,101,102,104,104,108,113,116,116,119,127,129,133,139,139,139,142,142,147,145,146,146,146,147,148,148,148,149,150,150,151,151
Liberec,Liberecký kraj,15,21,24,30,36,45,46,48,52,55,56,58,63,63,64,64,64,64,65,66,67,67,67,67,67,67,67,67,67,68,69,70,70,70,70,70,70,70,70,71,72,72,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,73,74,74,75,75,88,106,109,110,114,114,114,114,114,117,120,130,130,144,145,145,145,147,148,149,149,149,150,150,151,155,158,158,158,158,159,159,159,159,159,159,159,176,179,181,183,183,183,183,184,186,186,192,193,193,198,200
Semily,Liberecký kraj,9,10,10,10,10,11,16,18,20,26,29,29,29,29,30,31,32,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,44,44,45,47,48,48,49,52,53,57,58,58,58,60,61,62,62,69,69,69,69,69
Bruntál,Moravskoslezský kraj,16,18,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,23,24,24,24,24,24,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,28,28,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,34,34,34,34,36,36,36,36,37,37,37,37,37
Opava,Moravskoslezský kraj,23,23,27,27,29,30,31,35,35,35,41,43,44,48,55,67,68,74,77,82,83,95,105,113,113,130,137,139,143,143,153,157,160,164,167,169,171,171,172,172,174,177,177,181,182,184,184,184,185,186,189,190,193,193,193,193,194,195,195,196,197,197,197,197,197,197,197,197,199,199,199,199,201,201,201,203,204,204,205,205,205,205,206,206,206,206,206,205,205,206,206,206,207,208,208,208,209,212,212,212,212,212,212,212,219,219,220,220,220,220,224,225,228,232,238,238,238,241,242,244,245,246,246,246,257,253,255,259,261,261,261,262,263,263,268,271,271,271,278,278
Nový Jičín,Moravskoslezský kraj,8,19,21,21,23,23,23,23,28,28,28,29,40,41,43,43,43,44,44,45,46,46,48,48,48,56,58,58,60,60,62,63,65,72,73,76,79,84,84,87,87,87,87,89,90,90,90,90,90,90,90,90,91,91,91,93,94,94,94,94,94,95,95,95,95,95,95,95,95,95,96,97,98,98,98,98,99,100,101,101,101,101,103,103,104,104,104,104,104,105,105,107,107,108,108,108,109,112,112,112,113,113,113,113,119,121,125,128,128,128,138,140,143,144,151,151,151,161,164,164,167,169,169,169,175,176,176,179,180,180,180,184,184,187,191,192,192,192,199,199
Ostrava,Moravskoslezský kraj,42,46,59,68,75,76,78,86,99,99,110,130,146,172,186,199,237,241,253,261,270,276,280,301,301,316,319,322,329,328,358,361,364,371,376,381,395,403,405,405,410,415,423,430,435,435,436,440,441,443,450,454,456,460,460,464,471,474,474,474,487,490,492,492,493,495,495,495,499,500,500,502,502,502,502,503,509,509,511,515,515,515,517,517,517,518,518,518,518,527,528,532,532,534,534,534,542,554,557,572,581,581,581,581,640,652,665,673,673,673,691,694,698,703,715,715,715,726,731,738,747,752,752,752,777,783,785,798,801,801,801,809,811,816,826,846,846,846,857,866
Karviná,Moravskoslezský kraj,28,31,38,41,42,47,48,49,49,49,70,76,81,87,93,98,99,103,106,106,107,107,109,110,110,110,109,110,111,111,112,112,112,114,115,115,117,118,123,123,124,126,131,133,134,134,135,136,139,142,135,146,153,157,158,186,212,247,262,297,317,333,379,389,406,422,422,422,456,465,476,494,504,504,504,526,543,576,594,608,618,618,644,648,655,672,706,706,706,774,785,807,832,864,864,864,973,1001,1033,1158,1214,1214,1214,1214,1523,1587,1633,1661,1661,1661,1746,1769,1778,1811,1832,1832,1832,1895,1909,1928,1971,2005,2005,2005,2060,2073,2085,2097,2103,2103,2103,2133,2138,2145,2152,2169,2169,2169,2185,2189
Frýdek-Místek,Moravskoslezský kraj,62,62,70,75,78,82,86,88,89,89,94,95,109,113,127,130,133,140,144,146,151,157,164,170,170,176,178,179,187,188,196,203,203,204,209,220,224,230,233,233,234,237,238,243,243,243,243,246,248,247,252,256,257,257,257,261,264,265,265,273,276,276,279,279,282,283,283,283,284,284,286,288,289,289,289,291,295,300,300,300,300,300,306,307,310,312,327,327,327,363,363,369,373,382,382,382,394,399,401,429,436,436,436,436,468,476,501,510,510,510,541,551,560,569,580,580,580,628,635,637,670,685,685,685,713,718,736,749,759,759,759,805,825,850,883,927,927,927,993,1019
Olomouc,Olomoucký kraj,110,137,157,184,190,216,236,253,289,305,313,346,346,367,386,430,443,454,458,461,461,463,465,474,482,482,483,488,503,513,513,518,518,518,525,525,525,526,526,526,526,528,531,531,531,531,531,531,531,532,533,534,534,534,534,534,534,534,534,534,534,534,534,534,535,535,537,541,543,543,546,548,554,564,588,597,605,613,620,626,626,626,626,633,635,638,641,641,641,641,642,642,649,653,654,654,654,658,661,662,664,665,665,665,665,665,667,667,677,678,678,685,689,689,693,693,694,695,695,698,698,706,708,708,708,710,712,712,720,724,724,725,735,737,742,744,749,749,751,755
Prostějov,Olomoucký kraj,21,25,28,31,32,32,33,33,33,33,33,34,34,34,35,39,40,40,41,41,41,43,43,43,43,43,44,46,46,47,47,47,47,47,47,47,47,47,48,48,48,49,56,58,59,59,59,62,69,69,73,73,74,74,74,74,74,74,77,77,77,77,77,77,77,77,78,78,78,78,78,78,79,79,79,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,81,81,87,87,87,87,87,92,92,97,99,99,99,100,104,104,121,123,123,127,132,132,133,133,134,134,133,135
Přerov,Olomoucký kraj,5,5,6,9,9,10,10,9,9,9,10,10,10,12,16,18,20,26,26,26,28,28,32,34,35,35,35,39,41,42,44,45,46,46,46,46,46,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,56,57,57,57,70,73,75,78,80,80,82,83,83,83,83,83,83,83,84,84,84,84,84,85,86,85,85,85,85,85,85,86,86,87,87,87,87,87,88,88,94,95,95,97,98,103,104,105,105,105,105,105
