Okres,Kraj,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
Břeclav,Jihomoravský kraj,-,1,5,1,2,2,2,5,14,3,1,6,5,5,5,5,4,4,1,3,-2,5,5,4,0,1,0,2,0,1,3,0,0,2,3,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,2,0,11,5,3,0,0,2,3,1,3,4,0,0,2,1
Hodonín,Jihomoravský kraj,-,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,2,0,5,0,4,0,0,2,3,3,1,3,0,0,4,10
Vyškov,Jihomoravský kraj,-,0,0,0,0,1,0,1,3,3,2,2,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,3,1,3,0,0,0,0,2,0,0,0,0,0,2
Znojmo,Jihomoravský kraj,-,2,3,3,2,7,0,3,2,5,5,3,1,0,0,0,2,0,0,0,0,0,1,5,0,1,0,1,3,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,3,0,7,0,6,0,0,1,9,2,0,0,0,0,-1,2
Karlovy Vary,Karlovarský kraj,-,2,1,2,3,2,1,-1,8,2,2,4,1,3,1,2,3,0,0,0,0,2,0,2,0,6,0,4,0,4,0,4,1,0,0,0,0,0,1,0,0,2,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,1,1,2,0,0,1,0
Sokolov,Karlovarský kraj,-,0,0,2,0,0,1,2,2,0,0,3,1,1,1,1,4,1,5,1,0,2,0,2,0,4,3,3,0,7,0,1,1,0,2,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Cheb,Karlovarský kraj,-,8,1,5,6,0,9,-2,5,9,12,4,3,11,1,2,3,1,2,1,1,10,3,4,0,2,9,7,0,15,12,25,17,2,3,2,0,10,4,4,5,19,2,0,10,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,1,4,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,1,1,1,0,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,3,0,3,1,0,0,0
Jihlava,Kraj Vysočina,-,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,9,1,3,0,1,1,3,1,0,3,0,6,10,7,10,33,8,1,8,4,2,2,0,1,2,1,1,1,0,2,0,1,3
Havlíčkův Brod,Kraj Vysočina,-,0,12,20,4,2,2,1,1,1,0,0,6,0,0,9,1,1,0,0,3,0,1,0,0,0,1,0,1,0,6,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,1,3,2,0,1,4,0,0,1,0,0,1,7,1,0,4,0,0,1
Pelhřimov,Kraj Vysočina,-,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,2,4,2,2,3,3,0,0,0,1,0,0,2,0,0,0
Třebíč,Kraj Vysočina,-,0,5,1,0,0,2,0,0,2,0,2,0,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,2
Žďár nad Sázavou,Kraj Vysočina,-,1,7,0,0,3,5,4,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,1,2,3,0,0,0,1,0,2,4,0,0,0,1,4,0,1,0,1,0,1
Hradec Králové,Královéhradecký kraj,-,2,2,2,5,2,1,2,1,3,6,1,0,3,2,0,1,2,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,2,2,0,1,3,4,0,1,6,1,2,4,2,0,2,5,3,6,2,0,0,5,5
Jičín,Královéhradecký kraj,-,1,1,0,0,2,1,2,1,3,3,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,1,0
Náchod,Královéhradecký kraj,-,3,5,8,8,4,4,1,3,2,4,2,1,1,2,1,3,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,3,0,3,0,0,0,4,1,7,1,0,0,1,2
Rychnov nad Kněžnou,Královéhradecký kraj,-,0,0,0,0,0,0,4,0,1,1,1,1,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,5,3,1,0,0,3,1,2,0,0,0,1,4
Trutnov,Královéhradecký kraj,-,0,3,1,1,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,0,1
Česká Lípa,Liberecký kraj,-,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,1,4,0,5,0,3,1,0,5,0,0,0,0,3,0
Jablonec nad Nisou,Liberecký kraj,-,4,1,4,1,9,7,8,10,-1,1,2,4,2,7,1,1,0,3,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,5,0,3,0,1,0,1,0,1,0,0,1,2,0,4,5,3,0,3,8,2,4,6,0,0,3,0,5,-2,1,0,0,1,1,0,0,1,1,0,1,0
Liberec,Liberecký kraj,-,6,3,6,6,9,1,2,4,3,1,2,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,13,18,3,1,4,0,0,0,0,3,3,10,0,14,1,0,0,2,1,1,0,0,1,0,1,4,3,0,0,0,1,0,0,0,0,0,0,17,3,2,2,0,0,0,1,2,0,6,1,0,5,2
Semily,Liberecký kraj,-,1,0,0,0,1,5,2,2,6,3,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,1,3,1,4,1,0,0,2,1,1,0,7,0,0,0,0
Bruntál,Moravskoslezský kraj,-,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
Opava,Moravskoslezský kraj,-,0,4,0,2,1,1,4,0,0,6,2,1,4,7,12,1,6,3,5,1,12,10,8,0,17,7,2,4,0,10,4,3,4,3,2,2,0,1,0,2,3,0,4,1,2,0,0,1,1,3,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1,0,1,0,0,0,1,0,0,0,0,-1,0,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0,7,0,1,0,0,0,4,1,3,4,6,0,0,3,1,2,1,1,0,0,11,-4,2,4,2,0,0,1,1,0,5,3,0,0,7,0
Nový Jičín,Moravskoslezský kraj,-,11,2,0,2,0,0,0,5,0,0,1,11,1,2,0,0,1,0,1,1,0,2,0,0,8,2,0,2,0,2,1,2,7,1,3,3,5,0,3,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,2,0,1,0,0,1,3,0,0,1,0,0,0,6,2,4,3,0,0,10,2,3,1,7,0,0,10,3,0,3,2,0,0,6,1,0,3,1,0,0,4,0,3,4,1,0,0,7,0
Ostrava,Moravskoslezský kraj,-,4,13,9,7,1,2,8,13,0,11,20,16,26,14,13,38,4,12,8,9,6,4,21,0,15,3,3,7,-1,30,3,3,7,5,5,14,8,2,0,5,5,8,7,5,0,1,4,1,2,7,4,2,4,0,4,7,3,0,0,13,3,2,0,1,2,0,0,4,1,0,2,0,0,0,1,6,0,2,4,0,0,2,0,0,1,0,0,0,9,1,4,0,2,0,0,8,12,3,15,9,0,0,0,59,12,13,8,0,0,18,3,4,5,12,0,0,11,5,7,9,5,0,0,25,6,2,13,3,0,0,8,2,5,10,20,0,0,11,9
Karviná,Moravskoslezský kraj,-,3,7,3,1,5,1,1,0,0,21,6,5,6,6,5,1,4,3,0,1,0,2,1,0,0,-1,1,1,0,1,0,0,2,1,0,2,1,5,0,1,2,5,2,1,0,1,1,3,3,-7,11,7,4,1,28,26,35,15,35,20,16,46,10,17,16,0,0,34,9,11,18,10,0,0,22,17,33,18,14,10,0,26,4,7,17,34,0,0,68,11,22,25,32,0,0,109,28,32,125,56,0,0,0,309,64,46,28,0,0,85,23,9,33,21,0,0,63,14,19,43,34,0,0,55,13,12,12,6,0,0,30,5,7,7,17,0,0,16,4
Frýdek-Místek,Moravskoslezský kraj,-,0,8,5,3,4,4,2,1,0,5,1,14,4,14,3,3,7,4,2,5,6,7,6,0,6,2,1,8,1,8,7,0,1,5,11,4,6,3,0,1,3,1,5,0,0,0,3,2,-1,5,4,1,0,0,4,3,1,0,8,3,0,3,0,3,1,0,0,1,0,2,2,1,0,0,2,4,5,0,0,0,0,6,1,3,2,15,0,0,36,0,6,4,9,0,0,12,5,2,28,7,0,0,0,32,8,25,9,0,0,31,10,9,9,11,0,0,48,7,2,33,15,0,0,28,5,18,13,10,0,0,46,20,25,33,44,0,0,66,26
Olomouc,Olomoucký kraj,-,27,20,27,6,26,20,17,36,16,8,33,0,21,19,44,13,11,4,3,0,2,2,9,8,0,1,5,15,10,0,5,0,0,7,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,3,2,6,10,24,9,8,8,7,6,0,0,0,7,2,3,3,0,0,0,1,0,7,4,1,0,0,4,3,1,2,1,0,0,0,0,2,0,10,1,0,7,4,0,4,0,1,1,0,3,0,8,2,0,0,2,2,0,8,4,0,1,10,2,5,2,5,0,2,4
Prostějov,Olomoucký kraj,-,4,3,3,1,0,1,0,0,0,0,1,0,0,1,4,1,0,1,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,2,1,0,0,3,7,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,6,0,0,0,0,5,0,5,2,0,0,1,4,0,17,2,0,4,5,0,1,0,1,0,-1,2
Přerov,Olomoucký kraj,-,0,1,3,0,1,0,-1,0,0,1,0,0,2,4,2,2,6,0,0,2,0,4,2,1,0,0,4,2,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,13,3,2,3,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,-1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,1,0,2,1,5,1,1,0,0,0,0
